search URL:,https://patents.google.com/?inventor=matis+hudon&oq=matis+hudon
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
EP-2887646-B1,Procédé et appareil permettant d'acquérir un ensemble d'images éclairé par un flash ,Thomson Licensing,"Paul Kerbiriou, Matis Hudon, Olivier Bureller",2013-12-19,2014-12-16,2019-09-04,2019-09-04,https://patents.google.com/patent/EP2887646B1/fr,https://patentimages.storage.googleapis.com/4a/4f/21/4fd4443828625e/imgf0001.png
EP-3144898-A1,Procédé et système de détermination d'images intrinsèques d'images bidimensionnelles dans une séquence vidéo ,Thomson Licensing,"Philippe Robert, Salma JIDDI, Matis Hudon",2015-09-17,2015-09-17,2017-03-22,,https://patents.google.com/patent/EP3144898A1/fr,https://patentimages.storage.googleapis.com/7a/2d/c2/bb28179a224579/imgf0001.png
EP-3151190-A1,"Procédé, appareil et système pour déterminer des paramètres de réflectance et normaux à l'aide d'un éclairage séquentiel ",Thomson Licensing,"Matis Hudon, Philippe Robert, Paul Kerbiriou",2015-09-30,2015-09-30,2017-04-05,,https://patents.google.com/patent/EP3151190A1/fr,https://patentimages.storage.googleapis.com/fd/25/5b/97aa60ba21abd4/imgf0001.png
EP-3144893-B1,Procédé et appareil d'estimation de paramètres de réflectance et de la position d'une source lumineuse dans une scène ,Thomson Licensing,"Philippe Robert, Salma JIDDI, Matis Hudon",2015-09-17,2016-09-06,2018-06-06,2018-06-06,https://patents.google.com/patent/EP3144893B1/fr,https://patentimages.storage.googleapis.com/48/33/30/a686503952a035/imgf0001.png
WO-2023131544-A1,Procédés et systèmes de traitement d'image pour entraîner un modèle d'apprentissage automatique pour prédire des conditions d'éclairage pour différentes positions par rapport à une scène ,7 Sensing Software,"Matis Hudon, Guillaume CORTES, Toon Van Den Zegel",2022-01-04,2022-12-22,2023-07-13,,https://patents.google.com/patent/WO2023131544A1/fr,
EP-2938065-A1,Procédé et dispositif permettant de capturer les images d'une scène dans différentes configurations d'éclairage ,Thomson Licensing,"Olivier Bureller, Matis Hudon, Paul Kerbiriou, Arno Schubert",2014-04-23,2014-04-23,2015-10-28,,https://patents.google.com/patent/EP2938065A1/fr,https://patentimages.storage.googleapis.com/38/4c/bf/ad8d4702b4c983/imgf0001.png
WO-2023232417-A1,Procédé de reconstruction en 3 d et agencement d'enregistrement d'images ,Ams-Osram Ag,"Enrico CORTESE, Josselin MANCEAU, Matis Hudon, Guillaume CORTES",2022-06-03,2023-05-10,2023-12-07,,https://patents.google.com/patent/WO2023232417A1/fr,
WO-2023232373-A1,Procédé d'adaptation de l'éclairage et dispositif d'enregistrement d'images ,Ams-Osram Ag,"Raoul Mallart, Josselin MANCEAU, Enrico CORTESE, Guillaume CORTES, Matis Hudon",2022-06-03,2023-05-03,2023-12-07,,https://patents.google.com/patent/WO2023232373A1/fr,
WO-2023232592-A1,"Agencement d'enregistrement d'image, source de lumière et procédé de fonctionnement d'un agencement d'enregistrement d'image ",Ams International Ag,"Alessandro PIOTTO, Andrea DI-CHELE, Vladimir Gründling, Davide SOLIDA, Kian Boon Kelvin QUAH, Johannes Haase, Matis Hudon",2022-06-03,2023-05-24,2023-12-07,,https://patents.google.com/patent/WO2023232592A1/fr,
WO-2023066724-A1,Procédé et système de traitement d'image pour corriger des couleurs d'une image d'entrée représentant une scène éclairée par de multiples moyens d'éclairage ,7 Sensing Software,"Matis Hudon, Elnaz Soleimani",2021-10-20,2022-10-11,2023-04-27,,https://patents.google.com/patent/WO2023066724A1/fr,
